Transaction_ID,Date,Customer_Name,Product_Category,Price,Quantity,Discount,Rating
TXN-1172,2026-02-05,Elijah Wood,Electronics,1013.44,1.0,0.0,0.0
TXN-1004,,Anonymous,Books,701.1300000000001,4.0,0.26,2.9
TXN-1042,2026-03-01,Ava Max,Books,1080.35,3.0,0.0,2.9
TXN-1047,,Elijah Wood,Home & Kitchen,701.1300000000001,2.0,0.0,3.7
TXN-1005,2026-04-12,Liam Neeson,Clothing,112.75,1.0,0.0,1.4
TXN-1132,2026-03-23,Charlotte Bronte,Clothing,701.1300000000001,10.0,0.0,2.9
TXN-1003,2026-04-04,Ava Max,Electronics,681.69,10.0,0.0,1.1
TXN-1015,2026-01-24,Ava Max,Office Supplies,898.27,9.0,0.0,1.3
TXN-1057,2026-03-04,Emma Watson,Clothing,32.12,18.5,0.7000000000000001,3.3
TXN-1134,2026-03-09,James Bond,Clothing,384.59,-2.0,0.31,3.8
TXN-1007,2026-05-04,Amelia Earhart,Books,1470.96,5.0,0.1,3.8
TXN-1160,,James Bond,Home & Kitchen,1131.66,-1.0,0.0,2.8
TXN-1106,2026-07-01,Charlotte Bronte,Electronics,108.34,1.0,0.3,2.2
TXN-1078,2026-01-16,Elijah Wood,Books,701.1300000000001,8.0,0.26,3.3
TXN-1131,,Anonymous,Home & Kitchen,130.97,9.0,0.0,2.9
TXN-1145,2026-03-18,Liam Neeson,Office Supplies,686.51,5.0,0.0,3.6
TXN-1064,2026-02-24,Anonymous,Home & Kitchen,1241.68,1.0,0.14,4.3
TXN-1119,2026-02-26,Oliver Twist,Office Supplies,671.18,-1.0,0.0,3.4
TXN-1010,,Amelia Earhart,Electronics,1011.7,18.5,0.0,2.9
TXN-1081,2026-04-28,Amelia Earhart,Clothing,710.32,6.0,0.0,2.3
TXN-1174,2026-02-06,Elijah Wood,Books,701.1300000000001,18.5,0.29,3.1
TXN-1009,2026-03-26,Charlotte Bronte,Home & Kitchen,843.95,8.0,0.0,0.0
TXN-1012,2026-04-29,Charlotte Bronte,Books,1067.58,1.0,0.0,1.9
TXN-1038,2026-01-15,Olivia Rodrigo,Home & Kitchen,969.97,5.0,0.7000000000000001,2.0
TXN-1165,2026-02-19,Amelia Earhart,Home & Kitchen,421.61,7.0,0.33,1.0
TXN-1061,2026-04-18,Charlotte Bronte,Clothing,471.81,9.0,0.38,4.9
TXN-1161,2026-02-19,Elijah Wood,Books,1060.79,7.0,0.0,3.6
TXN-1170,2026-05-01,Amelia Earhart,Electronics,666.06,8.0,0.0,2.9
TXN-1120,2026-01-20,Anonymous,Office Supplies,1042.13,6.0,0.0,2.5
TXN-1073,2026-04-02,Charlotte Bronte,Electronics,359.81,5.0,0.0,2.7
TXN-1142,,Olivia Rodrigo,Office Supplies,78.53,5.0,0.2,0.0
TXN-1066,2026-03-29,Noah Centineo,Books,933.37,10.0,0.19,2.8
TXN-1077,2026-04-26,Oliver Twist,Home & Kitchen,701.1300000000001,5.0,0.0,2.0
TXN-1022,2026-01-26,Charlotte Bronte,Clothing,866.47,5.0,0.0,2.6
TXN-1102,,Liam Neeson,Clothing,1355.37,4.0,0.0,3.5
TXN-1000,2026-03-28,Noah Centineo,Electronics,666.83,3.0,0.0,4.0
TXN-1110,2026-01-17,Ava Max,Office Supplies,392.89,8.0,0.0,4.5
TXN-1176,2026-03-01,Noah Centineo,Home & Kitchen,1089.08,9.0,0.33,2.9
TXN-1177,2026-02-28,Oliver Twist,Office Supplies,701.1300000000001,1.0,0.0,4.7
TXN-1037,2026-09-01,Charlotte Bronte,Office Supplies,183.85,1.0,0.0,1.5
TXN-1098,2026-10-03,Charlotte Bronte,Books,1004.38,7.0,0.0,3.5
TXN-1138,2026-02-05,Anonymous,Clothing,325.63,6.0,0.7000000000000001,2.4
TXN-1123,2026-01-25,Charlotte Bronte,Books,701.1300000000001,1.0,0.0,0.0
TXN-1126,,James Bond,Home & Kitchen,357.17,10.0,0.0,1.6
TXN-1089,,Olivia Rodrigo,Electronics,701.1300000000001,10.0,0.11,2.9
TXN-1017,2026-03-09,Anonymous,Books,494.5,8.0,0.7000000000000001,1.2
TXN-1070,2026-04-21,Oliver Twist,Electronics,701.1300000000001,2.0,0.7000000000000001,2.9
TXN-1032,,Noah Centineo,Books,445.08,9.0,0.23,4.2
TXN-1168,,James Bond,Home & Kitchen,1199.93,8.0,0.31,2.3
TXN-1014,2026-01-20,Charlotte Bronte,Books,148.91,-3.0,0.0,3.3
TXN-1084,2026-02-12,Elijah Wood,Clothing,1084.38,10.0,0.09,1.6
TXN-1048,2026-04-19,Anonymous,Office Supplies,701.1300000000001,7.0,0.0,4.3
TXN-1156,2026-03-24,Amelia Earhart,Office Supplies,701.1300000000001,6.0,0.11,2.9
TXN-1122,2026-01-09,Liam Neeson,Books,513.48,3.0,0.3,3.3
TXN-1076,,Amelia Earhart,Books,701.1300000000001,10.0,0.7000000000000001,0.0
TXN-1099,2026-02-14,Oliver Twist,Books,903.63,1.0,0.26,2.9
TXN-1151,2026-01-28,Oliver Twist,Electronics,701.1300000000001,7.0,0.7000000000000001,0.0
TXN-1080,2026-03-27,Olivia Rodrigo,Electronics,625.53,1.0,0.2,3.6
TXN-1019,2026-02-21,Anonymous,Books,933.77,7.0,0.0,0.0
TXN-1005,2026-03-09,Anonymous,Office Supplies,701.1300000000001,1.0,0.0,1.8
TXN-1002,2026-02-14,Noah Centineo,Home & Kitchen,268.51,2.0,0.29,2.9
TXN-1169,2026-03-16,Amelia Earhart,Books,1456.75,1.0,0.7000000000000001,2.2
TXN-1113,2026-08-01,Olivia Rodrigo,Clothing,701.1300000000001,18.5,0.0,1.4
TXN-1065,2026-02-19,James Bond,Electronics,1094.97,6.0,0.0,4.8
TXN-1006,2026-04-14,Ava Max,Electronics,240.4,8.0,0.0,3.4
TXN-1028,2026-04-28,Elijah Wood,Books,701.1300000000001,1.0,0.25,2.0
TXN-1046,2026-04-27,Noah Centineo,Books,1375.95,1.0,0.0,1.5
TXN-1124,2026-01-11,Elijah Wood,Office Supplies,1008.47,9.0,0.0,3.0
TXN-1100,,Emma Watson,Clothing,701.1300000000001,5.0,0.0,2.9
TXN-1054,2026-04-17,James Bond,Books,1151.8,-4.0,0.1,4.1
TXN-1152,2026-01-22,Liam Neeson,Home & Kitchen,919.79,8.0,0.12,4.2
TXN-1105,2026-04-17,Amelia Earhart,Clothing,1169.4,7.0,0.0,4.2
TXN-1007,,Anonymous,Office Supplies,162.86,2.0,0.32,4.6
TXN-1140,,Anonymous,Clothing,1396.4,7.0,0.7000000000000001,0.0
TXN-1157,2026-02-17,Ava Max,Office Supplies,215.02,18.5,0.0,1.6
TXN-1095,2026-02-27,Olivia Rodrigo,Books,701.1300000000001,10.0,0.7000000000000001,2.9
TXN-1164,2026-08-02,Emma Watson,Books,157.66,10.0,0.7000000000000001,3.3
TXN-1155,2026-02-07,Amelia Earhart,Books,899.92,-3.0,0.0,3.0
TXN-1033,2026-03-12,Anonymous,Electronics,1471.75,18.5,0.0,2.4
TXN-1043,2026-03-22,Anonymous,Office Supplies,701.1300000000001,1.0,0.0,3.7
TXN-1128,2026-03-03,Noah Centineo,Books,691.94,18.5,0.0,6.387499999999999
TXN-1082,,Elijah Wood,Books,58.1,5.0,0.32,2.3
TXN-1037,,Elijah Wood,Clothing,288.36,6.0,0.0,4.2
TXN-1063,2026-01-11,Noah Centineo,Office Supplies,701.1300000000001,18.5,0.7000000000000001,6.387499999999999
TXN-1130,2026-02-27,Anonymous,Office Supplies,658.06,1.0,0.0,2.5
TXN-1121,2026-03-28,Liam Neeson,Books,662.88,-2.0,0.0,2.5
TXN-1125,2026-03-19,Charlotte Bronte,Office Supplies,112.1,-3.0,0.28,0.0
TXN-1171,,James Bond,Books,701.1300000000001,4.0,0.0,4.7
TXN-1112,2026-01-16,Olivia Rodrigo,Clothing,1217.66,6.0,0.0,3.2
TXN-1072,2026-08-02,Noah Centineo,Books,701.1300000000001,4.0,0.0,2.9
TXN-1146,2026-02-17,James Bond,Electronics,701.1300000000001,8.0,0.7000000000000001,4.3
TXN-1027,,Charlotte Bronte,Books,1318.16,10.0,0.09,4.6
TXN-1127,,Oliver Twist,Office Supplies,345.95,9.0,0.0,2.0
TXN-1034,2026-03-12,Oliver Twist,Electronics,235.14,3.0,0.24,3.4
TXN-1051,2026-03-14,Anonymous,Electronics,701.1300000000001,4.0,0.0,3.6
TXN-1005,2026-03-22,Oliver Twist,Clothing,118.73,1.0,0.7000000000000001,2.4
TXN-1103,,Ava Max,Home & Kitchen,777.32,-2.0,0.7000000000000001,1.6
TXN-1008,,Elijah Wood,Home & Kitchen,1401.29,4.0,0.0,3.1
TXN-1153,2026-02-09,Olivia Rodrigo,Books,331.82,1.0,0.0,4.5
TXN-1014,2026-03-02,Liam Neeson,Clothing,701.1300000000001,7.0,0.19,1.8
TXN-1083,2026-01-10,Charlotte Bronte,Office Supplies,938.63,3.0,0.0,4.2
TXN-1047,2026-05-01,Noah Centineo,Books,62.98,1.0,0.0,3.1
TXN-1069,,Ava Max,Office Supplies,701.1300000000001,5.0,0.0,3.0
TXN-1148,2026-03-14,Liam Neeson,Electronics,879.72,1.0,0.0,3.6
TXN-1118,2026-03-16,Liam Neeson,Home & Kitchen,976.1,7.0,0.26,0.0
TXN-1144,2026-03-31,Anonymous,Books,235.63,7.0,0.7000000000000001,2.9
TXN-1062,2026-04-04,Anonymous,Home & Kitchen,1497.2,7.0,0.11,2.4
TXN-1136,2026-04-09,Oliver Twist,Home & Kitchen,425.72,18.5,0.0,4.1
TXN-1043,2026-03-30,Ava Max,Books,1195.15,18.5,0.26,4.6
TXN-1018,2026-02-14,Noah Centineo,Office Supplies,127.75,5.0,0.0,0.0
TXN-1068,2026-02-04,Oliver Twist,Books,366.53,1.0,0.0,0.0
TXN-1053,2026-01-13,Charlotte Bronte,Home & Kitchen,701.1300000000001,7.0,0.0,2.9
TXN-1090,2026-04-07,Ava Max,Electronics,143.3,9.0,0.0,1.1
TXN-1094,2026-02-23,Noah Centineo,Electronics,601.52,5.0,0.0,2.9
TXN-1041,2026-01-14,Ava Max,Books,1201.5,-5.0,0.7000000000000001,2.3
TXN-1093,2026-03-24,Noah Centineo,Books,449.59,4.0,0.25,4.3
TXN-1116,2026-01-12,Olivia Rodrigo,Home & Kitchen,1263.94,1.0,0.21,2.3
TXN-1047,2026-03-15,Anonymous,Home & Kitchen,701.1300000000001,1.0,0.7000000000000001,4.6
TXN-1173,2026-03-30,Anonymous,Office Supplies,339.07,8.0,0.28,2.5
TXN-1025,2026-04-27,James Bond,Home & Kitchen,1023.71,2.0,0.7000000000000001,2.4
TXN-1013,2026-01-15,Anonymous,Books,701.1300000000001,9.0,0.7000000000000001,3.0
TXN-1162,2026-02-27,Charlotte Bronte,Clothing,86.43,5.0,0.0,4.3
TXN-1074,2026-03-16,Anonymous,Electronics,89.8,8.0,0.0,4.1
TXN-1058,2026-04-04,Elijah Wood,Clothing,1238.85,2.0,0.0,3.2
TXN-1167,2026-02-14,Anonymous,Clothing,985.06,1.0,0.0,2.9
TXN-1017,2026-02-24,Emma Watson,Office Supplies,701.1300000000001,2.0,0.0,3.5
TXN-1049,2026-04-24,Anonymous,Electronics,675.2,1.0,0.06,1.9
TXN-1147,2026-04-21,Noah Centineo,Office Supplies,701.1300000000001,10.0,0.0,2.3
TXN-1092,2026-01-19,James Bond,Office Supplies,839.51,3.0,0.0,3.0
TXN-1158,2026-05-01,Elijah Wood,Office Supplies,618.31,18.5,0.22,4.4
TXN-1075,2026-04-01,Charlotte Bronte,Books,567.54,7.0,0.11,1.3
TXN-1141,2026-02-17,Anonymous,Home & Kitchen,701.1300000000001,1.0,0.0,6.387499999999999
TXN-1020,2026-04-03,Emma Watson,Office Supplies,1364.4,4.0,0.0,2.9
TXN-1096,2026-03-03,Amelia Earhart,Clothing,832.6,7.0,0.7000000000000001,2.4
TXN-1031,2026-03-01,Anonymous,Clothing,487.15,6.0,0.7000000000000001,1.1
TXN-1137,2026-03-16,Elijah Wood,Home & Kitchen,575.96,8.0,0.0,2.4
TXN-1117,2026-03-04,Charlotte Bronte,Office Supplies,701.1300000000001,9.0,0.0,3.1
TXN-1011,2026-01-10,Liam Neeson,Clothing,701.1300000000001,1.0,0.11,2.5
TXN-1067,2026-03-27,Charlotte Bronte,Electronics,701.1300000000001,1.0,0.7000000000000001,4.9
TXN-1001,,Elijah Wood,Home & Kitchen,701.1300000000001,-2.0,0.0,2.4
TXN-1088,2026-01-11,Elijah Wood,Home & Kitchen,346.53,2.0,0.0,4.0
TXN-1091,,Charlotte Bronte,Books,701.1300000000001,7.0,0.0,4.9
TXN-1024,2026-04-25,Liam Neeson,Books,71.44,1.0,0.0,3.3
TXN-1097,,Liam Neeson,Books,701.1300000000001,2.0,0.25,4.4
TXN-1023,2026-03-11,Noah Centineo,Electronics,1315.57,1.0,0.7000000000000001,4.1
TXN-1026,2026-02-20,Ava Max,Books,1488.95,6.0,0.0,1.7
TXN-1086,2026-02-18,Anonymous,Home & Kitchen,132.24,3.0,0.0,1.4
TXN-1055,,Oliver Twist,Electronics,701.1300000000001,7.0,0.07,1.4
TXN-1039,2026-02-11,Liam Neeson,Clothing,1090.02,4.0,0.0,6.387499999999999
TXN-1015,2026-01-18,Oliver Twist,Electronics,701.1300000000001,18.5,0.0,4.8
TXN-1087,2026-03-05,Emma Watson,Home & Kitchen,1423.75,1.0,0.0,2.3
TXN-1108,2026-04-15,Amelia Earhart,Office Supplies,1045.99,3.0,0.0,2.2
TXN-1178,2026-03-04,Emma Watson,Office Supplies,595.47,-5.0,0.22,6.387499999999999
TXN-1040,2026-01-04,Charlotte Bronte,Home & Kitchen,399.67,7.0,0.0,2.9
TXN-1001,2026-02-02,Elijah Wood,Electronics,810.83,9.0,0.7000000000000001,3.8
TXN-1071,2026-04-12,James Bond,Electronics,701.1300000000001,3.0,0.0,2.9
TXN-1150,2026-03-28,Ava Max,Clothing,701.1300000000001,9.0,0.0,1.9
TXN-1114,2026-03-01,Amelia Earhart,Home & Kitchen,46.6,-4.0,0.0,2.9
TXN-1056,2026-04-04,Oliver Twist,Home & Kitchen,476.07,-4.0,0.16,1.5
TXN-1107,2026-03-24,Anonymous,Home & Kitchen,749.12,1.0,0.7000000000000001,0.0
TXN-1139,2026-01-24,Elijah Wood,Books,679.87,1.0,0.0,0.0
TXN-1179,2026-04-14,Amelia Earhart,Books,701.1300000000001,5.0,0.0,4.9
TXN-1166,2026-02-19,Amelia Earhart,Office Supplies,929.87,5.0,0.0,3.7
TXN-1047,2026-01-31,Noah Centineo,Home & Kitchen,569.86,-4.0,0.7000000000000001,3.8
TXN-1050,2026-01-23,Charlotte Bronte,Home & Kitchen,681.99,1.0,0.05,2.9
TXN-1143,2026-03-13,Charlotte Bronte,Clothing,1135.3,2.0,0.0,1.9
TXN-1006,,Noah Centineo,Books,1151.22,2.0,0.0,3.2
TXN-1154,2026-03-11,Liam Neeson,Clothing,1336.29,-2.0,0.4,2.4
TXN-1129,2026-02-26,Olivia Rodrigo,Home & Kitchen,701.1300000000001,10.0,0.0,6.387499999999999
TXN-1059,,Liam Neeson,Books,812.77,1.0,0.0,2.1
